Domain,Summary,Description,Path,Method,Client,Staff,Directory,Internal
ai,Bulk import business rules,"Create an async job to extract business rules from raw text using LLM. The system analyzes content, extracts rules, classifies by category, and deduplicates against existing rules.",/v3/ai/business_rules/bulk,POST,,Y,,
ai,Get all BusinessRules,Get a list of all business rules for the authenticated business. Optionally filter by category.,/v3/ai/business_rules,GET,,Y,,
ai,Create a BusinessRule,Create a new business rule for the authenticated business.,/v3/ai/business_rules,POST,,Y,,
ai,Get all BusinessRule History Records,"Get the change history for business rules. Supports optional filtering by rule UID and action type, with pagination.",/v3/ai/business_rule_histories,GET,,Y,,
ai,Retrieve a BusinessRule History Record,Retrieve a specific history record by its unique identifier (UID).,/v3/ai/business_rule_histories/{uid},GET,,Y,,
ai,Retrieve a BusinessRule,Retrieve a specific business rule based on its unique identifier (UID).,/v3/ai/business_rules/{uid},GET,,Y,,
ai,Update a BusinessRule,Update an existing business rule by UID. All fields are optional - only provided fields will be updated.,/v3/ai/business_rules/{uid},PUT,,Y,,
ai,Delete a BusinessRule,Delete a business rule by UID.,/v3/ai/business_rules/{uid},DELETE,,Y,,
ai,Get all AIRecommendations,"Retrieve a list of AIRecommendations with optional filtering by status, target, and context.",/v3/ai/ai_recommendations,GET,Y,Y,Y,
ai,Create an AIRecommendation,Create a new AIRecommendation.,/v3/ai/ai_recommendations,POST,,,,
ai,Update an AIRecommendation,Update an existing AIRecommendation by UID.,/v3/ai/ai_recommendations/{uid},PUT,,,,
ai,Get all BizAIChats,Get a list of all chat sessions.,/v3/ai/bizai_chats,GET,Y,Y,Y,
ai,Create a BizAIChat,Create a new chat session between a user and an agent,/v3/ai/bizai_chats,POST,,Y,,
ai,Retrieve a BizAIChat,Retrieve a specific BizAIChat session based on its unique identifier (UID).,/v3/ai/bizai_chats/{uid},GET,Y,Y,Y,
ai,Get all BizAIChatMessages,Get all BizAIChatMessages exchanged within a specific chat.,/v3/ai/bizai_chat_messages,GET,Y,Y,Y,
ai,Create a BizAIChatMessage,Create a new BizAIChatMessage in a BizAIChat thread and get an AI response,/v3/ai/bizai_chat_messages,POST,,Y,,
ai,List all AISmartReplies,Retrieve a list of smart replies with optional filtering.,/v3/ai/ai_smart_replies,GET,Y,Y,Y,
ai,Create a new  AISmartReply,"Generate a new, on-demand, smart reply between a business and a client. For example, when a user wants to edit their own reply text, provide custom instructions, or modify a previously-generated AI reply.",/v3/ai/ai_smart_replies,POST,,,,
ai,Create a ChatCompletion,"Create chat completions using multiple LLM providers (OpenAI, Anthropic, Google). Supports text and multimodal input (images, audio, video, files), streaming responses via SSE, async mode for long-running thinking models, tool calling (function calling), and structured output (JSON schema).",/v3/ai/chat_completions,POST,,,,
ai,Create an AudioTranscription,"Transcribe audio files using multiple providers (OpenAI Whisper, OpenAI GPT-4o Transcribe, Google Chirp). Supports file upload via multipart form data.",/v3/ai/audio_transcriptions,POST,,,,
ai,Retrieve a ChatCompletionRun,Get the status and result of an async chat completion job. Poll this endpoint until status is COMPLETED or FAILED.,/v3/ai/chat_completion_runs/{uid},GET,,,,
ai,List ChatCompletionRuns,Retrieve a paginated list of chat completion runs for the authenticated client. Supports sorting by field and direction.,/v3/ai/chat_completion_runs,GET,,,,
ai,Retrieve a TranscriptionRun,Get the status and result of an async transcription job. Poll this endpoint until status is COMPLETED or FAILED.,/v3/ai/transcription_runs/{uid},GET,,,,
ai,List TranscriptionRuns,Retrieve a paginated list of transcription runs for the authenticated client. Supports sorting by field and direction.,/v3/ai/transcription_runs,GET,,,,
ai,Retrieve a StaffAiSettings,Retrieve a specific StaffAiSettings based on staff unique identifier.,/v3/ai/staff_ai_settings/{staff_uid},GET,,,,
ai,Update a StaffAiSettings,Update AI settings for a specific staff member based on their unique identifier. Users can only update their own settings.,/v3/ai/staff_ai_settings/{staff_uid},PUT,,,,
ai,Create new AI generation feedback,Submit feedback for AI-generated content.,/v3/ai/ai_generation_feedbacks,POST,,,,
apps,List Navigation Items,Retrieve a paginated list of navigation items for the authenticated directory. Supports filtering by parent and mobile availability.,/v3/apps/navigation_items,GET,,Y,Y,
apps,Create a Navigation Item,Create a new navigation item for the authenticated directory. The directory_uid is automatically set from the authenticated token context.,/v3/apps/navigation_items,POST,,,Y,
apps,Update a Navigation Item,Update an existing navigation item. Only provided fields will be updated.,/v3/apps/navigation_items/{uid},PUT,,,Y,
apps,Delete a Navigation Item,Delete a navigation item. Items with children cannot be deleted until all children are removed first.,/v3/apps/navigation_items/{uid},DELETE,,,Y,
